,URLs,Year,Week
91,https://www.pro-football-reference.com/boxscores/201210180sfo.htm,2012,7
92,https://www.pro-football-reference.com/boxscores/201210210ram.htm,2012,7
93,https://www.pro-football-reference.com/boxscores/201210210buf.htm,2012,7
94,https://www.pro-football-reference.com/boxscores/201210210clt.htm,2012,7
95,https://www.pro-football-reference.com/boxscores/201210210htx.htm,2012,7
96,https://www.pro-football-reference.com/boxscores/201210210tam.htm,2012,7
97,https://www.pro-football-reference.com/boxscores/201210210car.htm,2012,7
98,https://www.pro-football-reference.com/boxscores/201210210nyg.htm,2012,7
99,https://www.pro-football-reference.com/boxscores/201210210min.htm,2012,7
100,https://www.pro-football-reference.com/boxscores/201210210nwe.htm,2012,7
101,https://www.pro-football-reference.com/boxscores/201210210rai.htm,2012,7
102,https://www.pro-football-reference.com/boxscores/201210210cin.htm,2012,7
103,https://www.pro-football-reference.com/boxscores/201210220chi.htm,2012,7
104,https://www.pro-football-reference.com/boxscores/201210250min.htm,2012,8
105,https://www.pro-football-reference.com/boxscores/201210280pit.htm,2012,8
106,https://www.pro-football-reference.com/boxscores/201210280chi.htm,2012,8
107,https://www.pro-football-reference.com/boxscores/201210280det.htm,2012,8
108,https://www.pro-football-reference.com/boxscores/201210280phi.htm,2012,8
109,https://www.pro-football-reference.com/boxscores/201210280gnb.htm,2012,8
110,https://www.pro-football-reference.com/boxscores/201210280cle.htm,2012,8
111,https://www.pro-football-reference.com/boxscores/201210280nyj.htm,2012,8
112,https://www.pro-football-reference.com/boxscores/201210280oti.htm,2012,8
113,https://www.pro-football-reference.com/boxscores/201210280ram.htm,2012,8
114,https://www.pro-football-reference.com/boxscores/201210280kan.htm,2012,8
115,https://www.pro-football-reference.com/boxscores/201210280dal.htm,2012,8
116,https://www.pro-football-reference.com/boxscores/201210280den.htm,2012,8
117,https://www.pro-football-reference.com/boxscores/201210290crd.htm,2012,8
118,https://www.pro-football-reference.com/boxscores/201211010sdg.htm,2012,9
119,https://www.pro-football-reference.com/boxscores/201211040cin.htm,2012,9
120,https://www.pro-football-reference.com/boxscores/201211040clt.htm,2012,9
121,https://www.pro-football-reference.com/boxscores/201211040gnb.htm,2012,9
122,https://www.pro-football-reference.com/boxscores/201211040htx.htm,2012,9
123,https://www.pro-football-reference.com/boxscores/201211040cle.htm,2012,9
124,https://www.pro-football-reference.com/boxscores/201211040jax.htm,2012,9
125,https://www.pro-football-reference.com/boxscores/201211040oti.htm,2012,9
126,https://www.pro-football-reference.com/boxscores/201211040was.htm,2012,9
127,https://www.pro-football-reference.com/boxscores/201211040rai.htm,2012,9
